,key,Q1 std,Q2 std,Q1 target std,Q2 target std
0,grayscale,0.12171056121587753,0.1103002056479454,0.06500380486249924,0.07315689325332642
1,flip,1.3170166015625,1.365631103515625,1.387784719467163,1.3712408542633057
2,rotate,1.9999456405639648,1.844046711921692,1.9590134620666504,1.8548569679260254
3,rand_conv,2.1020898818969727,2.048542022705078,2.053527593612671,1.9882358312606812
4,shift,1.473083734512329,1.4662176370620728,1.3966479301452637,1.4142621755599976
5,color_jitter,0.10436558723449707,0.10187184810638428,0.0989750474691391,0.09877391904592514
6,identity,0.0,0.0,0.0,0.0
7,overlay,1.6030611991882324,1.6255810260772705,1.5529553890228271,1.5753591060638428
8,splice,1.438171625137329,1.447317123413086,1.3958407640457153,1.4067785739898682
9,splice_color,2.1281721591949463,2.1629230976104736,2.0703070163726807,2.0909249782562256
